,DGS10,UNRATE,CPILFESL,FEDFUNDS,PAYEMS,GDPC1,M2REAL,CSUSHPISA,PCEPI,DGS2,VIXCLS,CPIAUCSL,HOUST,DGS3MO,M2,GDP,GDPPOT,SP500,Market_return,Market_volatility,GDP_growth,Real_GDP_growth,Output_gap,CPI_inflation,Core_inflation,PCE_inflation,Term_spread,Policy_spread,Employment_growth,Housing_starts_growth,Home_price_growth,M2_growth,Real_M2_growth,VIX_change,VIX_volatility
2003-01-31,4.048571428571428,5.8,192.4,1.24,130573.0,14614.141,3183.1,128.461,77.201,1.7433333333333334,27.424285714285713,182.6,1853.0,1.189047619047619,5809.95,11174.129,14977.19895,855.7000122070312,0.013130352526974365,0.22726780441498545,,,-0.024240710910767488,,,,2.305238095238095,2.808571428571428,,,,,,,
2003-02-28,3.9026315789473687,5.9,192.5,1.26,130441.0,14631.128884755914,3185.4,129.356,77.526,1.6278947368421053,32.21842105263158,183.6,1629.0,1.1852631578947368,5844.9,11195.528278373065,15006.708459070003,841.1500244140625,0.004622103695029578,0.20165733407670636,,,-0.025027445248134394,,,,2.2747368421052636,2.642631578947369,,,,,,0.17481349881971697,
2003-03-31,3.8071428571428574,5.9,192.5,1.25,130235.0,14677.93135414054,3191.2,130.148,77.725,1.5738095238095238,30.634285714285717,183.9,1726.0,1.150952380952381,5866.26,11245.294166410064,15038.648909265683,848.1799926757812,-0.017741757179176365,0.27791615073441517,,,,,,,2.2333333333333334,2.5571428571428574,,,,,,-0.04916862113627596,
2003-04-30,3.958571428571428,6.0,192.5,1.26,130172.0,14743.567,3223.6,130.884,77.593,1.6223809523809525,23.99190476190476,183.2,1643.0,1.1523809523809523,5901.375,11312.766,15069.0265,916.9199829101562,-0.0010024012010726446,0.18662692667710992,1.2406962547147904,0.885621672871495,-0.021597911451015157,,,,2.3361904761904757,2.6985714285714284,,,,,,-0.2168283280482498,
2003-05-31,3.5690476190476192,6.1,192.9,1.26,130196.0,14824.222097965618,3261.6,131.735,77.504,1.4152380952380952,20.23952380952381,182.9,1751.0,1.0880952380952382,5963.775,11395.203174123893,15100.07861542184,963.5900268554688,0.014689789806504372,0.16288320231693254,1.7835236603934934,1.319742411748459,-0.018268548428250438,,,,2.153809523809524,2.309047619047619,,,,,,-0.15640196097890147,
2003-06-30,3.334285714285714,6.3,193.0,1.22,130185.0,14906.853978647994,3278.2,132.649,77.588,1.227142857142857,20.362380952380953,183.1,1867.0,0.9361904761904762,5998.58,11480.35808518638,15130.005026910989,974.5,-0.0017618679751922883,0.15836217522157486,1.7835236603934934,1.319742411748459,,,,,2.1071428571428568,2.114285714285714,,,,,,0.006070159753429172,
2003-07-31,3.975454545454546,6.2,193.4,1.01,130184.0,14988.782,3293.1,133.77700000000002,77.816,1.4740909090909091,19.161363636363635,183.7,1897.0,0.9204545454545454,6044.475,11566.669,15161.01304,990.3099975585938,0.0028557325665139466,0.15788386211465336,2.244393634589459,1.663199956971062,-0.011360127423253015,,,,2.501363636363637,2.965454545454546,,,,,,-0.05898216514198373,
2003-08-31,4.4452380952380945,6.1,193.6,1.03,130153.0,15060.135110524976,3310.2,134.968,78.079,1.8642857142857143,19.274285714285714,184.5,1833.0,0.9690476190476189,6106.6,11645.11847554693,15192.271778830327,1008.010009765625,0.005155341601558616,0.1094236456530379,2.1931623122836585,1.5914023076579076,-0.008697624043921923,,,,2.58095238095238,3.4152380952380943,,,,,,0.0058932172086010315,
2003-09-30,4.274285714285715,6.1,193.7,1.01,130253.0,15117.131066885755,3284.7,136.29399999999998,78.323,1.706190476190476,19.532380952380954,185.1,1939.0,0.9552380952380952,6084.6,11712.21439140164,15222.729433662955,995.969970703125,-0.010540688476405324,0.15322162310047116,2.1931623122836585,1.5914023076579076,,,,,2.568095238095239,3.264285714285715,,,,,,0.01339065125012362,
2003-10-31,4.290454545454545,6.0,194.0,1.01,130440.0,15162.76,3283.0,137.532,78.333,1.7477272727272728,18.023478260869567,184.9,1967.0,0.9418181818181818,6070.925,11772.234,15254.33442,1050.7099609375,0.0036009893043016383,0.10422222076816332,1.777218661656188,1.160721398176312,-0.006003173752368739,,,,2.542727272727272,3.2804545454545453,,,,,,-0.07725134458466809,
2003-11-30,4.300000000000001,5.8,194.0,1.0,130481.0,15194.619111451837,3284.2,138.79399999999998,78.432,1.9266666666666667,17.40105263157895,185.0,2083.0,0.9522222222222223,6072.95,11822.184484832243,15285.012998537406,1058.199951171875,-0.00023619444615519125,0.1081568864052848,1.5205170274319446,0.8929800426084933,-0.005913890102299468,,,,2.373333333333334,3.3000000000000007,,,,,,-0.03453415707455054,
2003-12-31,4.267727272727273,5.7,194.2,0.98,130589.0,15221.050076324533,3274.4,140.18,78.605,1.9072727272727272,16.826363636363638,185.5,2057.0,0.9145454545454546,6075.16,11870.897081805993,15316.962607803964,1111.9200439453125,0.0020547468248948153,0.09361761936574377,1.5205170274319446,0.8929800426084933,,,,,2.3604545454545454,3.2877272727272726,,,,,,-0.033026105223794455,
2004-01-31,4.1505,5.7,194.6,1.0,130756.0,15248.68,3264.7,141.64600000000002,78.909,1.761,16.101,186.3,1911.0,0.9005000000000001,6077.625,11923.447,15349.3686,1132.04,-0.0015523019932969229,0.10395961964777566,1.2844885686098317,0.5666514539569345,-0.006559787742669721,2.026286966046009,1.1434511434511352,2.212406575044379,2.3895,3.1505,0.14015148614185957,3.130059363194815,10.263815477070871,4.607182505873553,2.563538688699696,-0.043108757901561545,
2004-02-29,4.084210526315789,5.6,194.9,1.01,130820.0,15281.19445593249,3279.0,143.191,79.077,1.7400000000000002,15.99842105263158,186.7,1846.0,0.9447368421052631,6115.4,11980.536885784319,15380.206514033167,1147.27,0.0010033853348689892,0.08887439117447243,1.3394512761599975,0.5697763388843535,-0.0064376286501964305,1.688453159041381,1.2467532467532516,2.000619147124838,2.3442105263157886,3.074210526315789,0.2905528169823812,13.321055862492326,10.695290516095124,4.627966261184957,2.938406479563005,-0.006370967478319334,
2004-03-31,3.826521739130435,5.8,195.5,1.0,131139.0,15322.540548554263,3291.3,145.058,79.199,1.5778260869565217,17.687391304347827,187.1,1998.0,0.9534782608695652,6153.2,12047.26361826018,15413.506890907604,1127.19,0.0009235004217911236,0.14737317695690913,1.3394512761599975,0.5697763388843535,,1.7400761283306032,1.558441558441559,1.8964297201672586,2.2486956521739137,2.826521739130435,0.6941298422083131,15.758980301274628,11.456188339428962,4.891361787578452,3.1367510654299435,0.10557105892887031,5.193488587344926
2004-04-30,4.347619047619047,5.6,195.9,1.0,131412.0,15366.85,3308.0,146.593,79.346,2.070952380952381,15.69857142857143,187.4,2003.0,0.9580952380952381,6190.975,12112.815,15445.75949,1110.0,-0.002121615304397806,0.1096858212928644,1.5881984463050003,0.7749523237421174,-0.00510881255473958,2.2925764192139875,1.7662337662337713,2.2592244145734686,2.2766666666666664,3.3476190476190473,0.952585809544293,21.911138161898958,12.002230983160667,4.907330918641839,2.6181908425362943,-0.11244280411704999,5.1889584948442105
2004-05-31,4.7155000000000005,5.6,196.2,1.0,131697.0,15415.009725812826,3334.7,148.186,79.604,2.5335,17.705000000000002,188.2,1981.0,1.0394999999999999,6272.6,12177.961316638663,15478.88664455035,1120.61,-0.001399062538986806,0.12054705727112326,1.6478763242121497,0.875685930613801,-0.0041267127413206345,2.8977583378895444,1.710730948678063,2.709537572254317,2.1820000000000004,3.7155000000000005,1.152877200528435,13.135351227869796,12.487949292139522,5.17834760701068,2.2412312975226945,0.1278096278096279,5.07507995252116
2004-06-30,4.733809523809524,5.6,196.6,1.03,131794.0,15462.83539126268,3323.5,149.852,79.831,2.763333333333333,15.342727272727274,188.9,1828.0,1.2880952380952382,6278.175,12239.866178799091,15510.880080670104,1142.99,0.00611774233301654,0.08949552567509353,1.6478763242121497,0.875685930613801,,3.1676679410158393,1.865284974093262,2.890910965613247,1.9704761904761905,3.7038095238095234,1.235933479279483,-2.0889126941617597,12.968812429795928,4.661019774680009,1.3818558965285943,-0.1334240455957485,5.070659339495154
